Designator,Footprint,Quantity,Value,LCSC Part #
3V1,TestPoint_Pad_D1.0mm,1,TestPoint,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C10, C2, C4, C6",0805,5,100nF,
C3,0805,1,10nF,
C5,0805,1,10uF,
"C7, C8",C_Elec_8x10.2,2,1000uF,
C9,0805,1,DNP,
F1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,250mA,
J1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Sensor,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Blue LED,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Reset button,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Red LED,
J5,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,LiPo cell,
Q1,SOT-23,1,A03400,
Q2,SOT-23,1,AO3401A,
R1,0805,1,10M,
"R10, R12, R6",0805,3,10K,
R11,0805,1,620K,
"R13, R7",0805,2,1K,
"R14, R9",0805,2,47K,
R15,0805,1,27K,
R2,0805,1,1M3,
R3,0805,1,180K,
R8,0805,1,220K,
RV1,Potentiometer_Vishay_TS53YL_Vertical,1,200K,
RV2,Potentiometer_Vishay_TS53YL_Vertical,1,10K,
U1,TSOP-6_1.65x3.05mm_P0.95mm,1,NCV308ADJ,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ICM7555xB,
U3,WEMOS_D1_mini_light,1,WEMOS D1 mini V4,
U4,SOT-23-5,1,TPS73101DBV,
U5,PinSocket_1x07_P2.54mm_Vertical,1,LoRa_E32_433T20D,
