Designator,Mid X,Mid Y,Rotation,Layer
BZ1,107.2,-111.15,180.0,top
C1,85.14,-101.01,90.0,top
C10,90.8,-92.33,90.0,top
C2,88.32,-101.05,90.0,top
C3,104.45,-100.86,0.0,top
C4,100.61,-93.86,90.0,top
C5,108.53,-96.96,0.0,top
C6,123.53,-81.69,180.0,top
C7,114.37,-76.57,0.0,top
C8,122.5,-108.5,90.0,top
F1,128.63,-74.18,180.0,top
J1,86.7825,-119.38,90.0,top
J2,110.49,-122.31,0.0,top
J3,120.84,-122.43,0.0,top
J4,131.28,-122.3,0.0,top
J5,154.52,-75.37,270.0,top
Q1,96.5675,-91.95,270.0,top
Q2,123.6,-78.36,270.0,top
R1,81.01,-88.16,270.0,top
R10,139.58,-91.71,0.0,top
R11,104.45,-96.94,0.0,top
R12,103.5,-92.28,90.0,top
R13,139.59,-101.82,0.0,top
R14,129.49,-89.94,180.0,top
R15,129.47,-92.26,0.0,top
R2,83.25,-88.09,90.0,top
R3,129.42,-94.38,180.0,top
R6,87.8,-105.4,180.0,top
R7,139.62,-94.3,180.0,top
R8,92.59,-97.21,270.0,top
R9,92.47,-101.72,90.0,top
RV1,82.1,-94.38,90.0,top
RV2,123.72,-91.03,0.0,top
U1,86.78,-93.28,270.0,top
U2,98.155,-98.855,270.0,top
U3,145.955,-97.97,0.0,top
U4,123.5625,-97.35,180.0,top
U5,113.82,-92.87,180.0,top
